base_name,detector,matcher,kp1_count,kp2_count,good_matches,inlier_matches,match_quality,detection_time,matching_time,ransac_time,status
delicious-food,SIFT,BF,18530,19124,234,38,1.26,2.8593,0.8635,0.0248,success
delicious-food,SIFT,FLANN,18530,19124,303,44,1.64,2.6527,0.2908,0.0221,success
delicious-food,ORB,BF,500,500,9,5,1.80,0.5373,0.0022,0.0006,success
delicious-food,ORB,FLANN,500,500,16,5,3.20,0.1525,0.0009,0.0058,success
delicious-food,AKAZE,BF,13177,10608,145,27,1.37,1.1254,0.4259,0.0221,success
delicious-food,AKAZE,FLANN,13177,10608,211,27,1.99,1.2297,0.1419,0.0223,success
delicious-food,KAZE,BF,11231,9578,375,69,3.92,11.7223,0.1657,0.0244,success
delicious-food,KAZE,FLANN,11231,9578,500,74,5.22,7.3235,0.1152,0.0218,success
delicious-food,BRISK,BF,19119,16811,236,38,1.40,0.7156,0.5091,0.0220,success
delicious-food,BRISK,FLANN,19119,16811,256,39,1.52,0.7168,0.1413,0.0219,success
iron-man,SIFT,BF,125453,117911,1088,36,0.92,3.3671,107.6713,0.0332,success
iron-man,SIFT,FLANN,125453,117911,1567,25,1.33,6.8956,4.0901,0.0260,success
iron-man,ORB,BF,500,500,6,0,1.20,0.4022,0.0006,0.0010,registration_failed
iron-man,ORB,FLANN,500,500,12,4,2.40,0.4877,0.0016,0.0079,success
iron-man,AKAZE,BF,51285,51031,187,27,0.37,2.0450,19.8230,0.0274,success
iron-man,AKAZE,FLANN,51285,51031,377,24,0.74,1.8274,1.0144,0.0238,success
iron-man,KAZE,BF,53227,52057,884,125,1.70,19.6068,9.3974,0.0291,success
iron-man,KAZE,FLANN,53227,52057,1266,108,2.43,12.8496,0.9070,0.0287,success
iron-man,BRISK,BF,137531,122569,743,50,0.61,4.5337,46.0582,0.0255,success
iron-man,BRISK,FLANN,137531,122569,806,61,0.66,3.9683,4.8342,0.0252,success
lab-machine,SIFT,BF,14044,15828,724,191,5.16,1.9412,0.8346,0.0137,success
lab-machine,SIFT,FLANN,14044,15828,817,196,5.82,1.9436,0.2466,0.0201,success
lab-machine,ORB,BF,500,500,15,7,3.00,0.1402,0.0005,0.0014,success
lab-machine,ORB,FLANN,500,500,31,9,6.20,0.1356,0.0010,0.0096,success
lab-machine,AKAZE,BF,11319,10867,143,43,1.32,1.0424,0.5813,0.0079,success
lab-machine,AKAZE,FLANN,11319,10867,204,54,1.88,1.0501,0.1654,0.0139,success
lab-machine,KAZE,BF,13125,13798,911,30,6.94,6.5251,0.2713,0.0080,success
lab-machine,KAZE,FLANN,13125,13798,1076,57,8.20,7.1841,0.1871,0.0100,success
lab-machine,BRISK,BF,14399,15131,458,145,3.18,0.6702,0.4552,0.0068,success
lab-machine,BRISK,FLANN,14399,15131,503,145,3.49,0.6754,0.0881,0.0096,success
lab-trash,SIFT,BF,10272,11491,1426,144,13.88,1.8062,0.4147,0.0010,success
